builder,slots
beaverbuild.org,186661
rsync-builder.xyz,153114
Titan Builder,125215
Flashbots,36225
jetbldr.xyz,22409
builder0x69,20640
Gambit Labs (https://gmbit.co),10124
@penguinbuild.org,8455
rpc.tbuilder.xyz,5051
lokibuilder.xyz,3932
