slot,parent_slot,cl_client,validator_id,validator,builder,relay,date,slot_in_epoch
[6779269](https://beaconcha.in/slot/6779269),0,Unknown,0,,,,2023-07-01 01:34:11,5
[6779347](https://beaconcha.in/slot/6779347),0,Unknown,0,,,,2023-07-01 01:49:47,19
[6779459](https://beaconcha.in/slot/6779459),0,Prysm,422375,,,,2023-07-01 02:12:11,3
[6779482](https://beaconcha.in/slot/6779482),0,Prysm,17927,,,,2023-07-01 02:16:47,26
[6779594](https://beaconcha.in/slot/6779594),0,Prysm,3105,,,,2023-07-01 02:39:11,10
[6779952](https://beaconcha.in/slot/6779952),0,Prysm,619641,,,,2023-07-01 03:50:47,16
[6780012](https://beaconcha.in/slot/6780012),0,Prysm,26431,,,,2023-07-01 04:02:47,12
[6780064](https://beaconcha.in/slot/6780064),0,Lighthouse,682248,,,,2023-07-01 04:13:11,0
[6780073](https://beaconcha.in/slot/6780073),0,Unknown,0,,,,2023-07-01 04:14:59,9
[6780176](https://beaconcha.in/slot/6780176),0,Unknown,0,,,,2023-07-01 04:35:35,16
[6780264](https://beaconcha.in/slot/6780264),0,Unknown,0,,,,2023-07-01 04:53:11,8
[6780339](https://beaconcha.in/slot/6780339),0,Unknown,0,,,,2023-07-01 05:08:11,19
[6780360](https://beaconcha.in/slot/6780360),0,Unknown,0,,,,2023-07-01 05:12:23,8
[6780418](https://beaconcha.in/slot/6780418),0,Unknown,0,,,,2023-07-01 05:23:59,2
[6780521](https://beaconcha.in/slot/6780521),0,Unknown,0,,,,2023-07-01 05:44:35,9
[6780544](https://beaconcha.in/slot/6780544),0,Unknown,0,,,,2023-07-01 05:49:11,0
[6780660](https://beaconcha.in/slot/6780660),0,Lighthouse,580262,,,,2023-07-01 06:12:23,20
[6780662](https://beaconcha.in/slot/6780662),0,Unknown,0,,,,2023-07-01 06:12:47,22
[6780727](https://beaconcha.in/slot/6780727),0,Prysm,27682,,,,2023-07-01 06:25:47,23
[6780736](https://beaconcha.in/slot/6780736),0,Unknown,0,,,,2023-07-01 06:27:35,0
[6780770](https://beaconcha.in/slot/6780770),0,Teku,109952,,,,2023-07-01 06:34:23,2
[6780836](https://beaconcha.in/slot/6780836),0,Prysm,461831,,,,2023-07-01 06:47:35,4
[6781167](https://beaconcha.in/slot/6781167),0,Unknown,0,,,,2023-07-01 07:53:47,15
[6781377](https://beaconcha.in/slot/6781377),0,Unknown,0,,,,2023-07-01 08:35:47,1
[6781570](https://beaconcha.in/slot/6781570),0,Lighthouse,314323,,,,2023-07-01 09:14:23,2
[6781626](https://beaconcha.in/slot/6781626),0,Unknown,0,,,,2023-07-01 09:25:35,26
[6781633](https://beaconcha.in/slot/6781633),0,Prysm,595313,,,,2023-07-01 09:26:59,1
[6781692](https://beaconcha.in/slot/6781692),0,Prysm,571114,,,,2023-07-01 09:38:47,28
[6781707](https://beaconcha.in/slot/6781707),0,Unknown,0,,,,2023-07-01 09:41:47,11
[6781708](https://beaconcha.in/slot/6781708),0,Unknown,0,,,,2023-07-01 09:41:59,12
[6781716](https://beaconcha.in/slot/6781716),0,Unknown,0,,,,2023-07-01 09:43:35,20
[6781919](https://beaconcha.in/slot/6781919),0,Unknown,0,,,,2023-07-01 10:24:11,31
[6781985](https://beaconcha.in/slot/6781985),0,Lighthouse,426752,,,,2023-07-01 10:37:23,1
