slot,validator_id,validator,builder,relay,cl_client,date,slot_in_epoch
[6396769](https://beaconcha.in/slot/6396769),170859,0x88eb0d46e735ddbdccc6d3763db910420a2c864895f03f3537dfe49aff54784b181d2d02ff37165b29eea18b529d8f82,,,Prysm,2023-05-08 22:34:11,1
[6397505](https://beaconcha.in/slot/6397505),543180,0x94f57b3e2f8294675e747ae227c5b0f5c9e6b1cc5526baad9e4ceccc68b1e8d599bf68244f2ebc913d2add940671f77c,,,Teku,2023-05-09 01:01:23,1
[6398561](https://beaconcha.in/slot/6398561),497222,stakefish,rsync-builder.xyz,bloxroute (max profit),Lighthouse,2023-05-09 04:32:35,1
[6398625](https://beaconcha.in/slot/6398625),240500,everstake pool,,,Prysm,2023-05-09 04:45:23,1
[6399809](https://beaconcha.in/slot/6399809),292848,kraken,rsync-builder.xyz,blocknative,Prysm,2023-05-09 08:42:11,1
[6400951](https://beaconcha.in/slot/6400951),551518,abyss finance,,,Prysm,2023-05-09 12:30:35,23
[6401729](https://beaconcha.in/slot/6401729),125163,lido,,,Lighthouse,2023-05-09 15:06:11,1
[6401825](https://beaconcha.in/slot/6401825),436501,0xb37993e92e47477d2766c3ce83c6fac3ef08a8b7f9b030e513362ede91d664d495e4cf4b9eb452be4f368a451b05e7dc,,,Lighthouse,2023-05-09 15:25:23,1
[6401827](https://beaconcha.in/slot/6401827),282981,0xabe160b0ee0f5bdb141941f4183f4df8e6a2b06166e9c77b5541b29a3480a5c78ac2984c7d9453d5e72c692be92a71c3,,,Prysm,2023-05-09 15:25:47,3
[6402072](https://beaconcha.in/slot/6402072),193801,coinbase,builder0x69,agnostic Gnosis,Lighthouse,2023-05-09 16:14:47,24
[6402073](https://beaconcha.in/slot/6402073),131926,lido,beaverbuild.org,ultrasound,Prysm,2023-05-09 16:14:59,25
[6402074](https://beaconcha.in/slot/6402074),285871,bitcoin suisse,beaverbuild.org,ultrasound,Teku,2023-05-09 16:15:11,26
[6402075](https://beaconcha.in/slot/6402075),231305,figment,Blocknative,flashbots,Lighthouse,2023-05-09 16:15:23,27
[6402076](https://beaconcha.in/slot/6402076),341685,missed,,,Prysm,2023-05-09 16:15:35,28
[6402077](https://beaconcha.in/slot/6402077),245561,0xa9da51d94a81f9f670e46d63ddfdf7caf4725d1dfc9d08497933909ffb9f7a5b1a68e0945d93c8ef4deb8d5a74073bab,rsync-builder.xyz,flashbots,Lighthouse,2023-05-09 16:15:47,29
[6402078](https://beaconcha.in/slot/6402078),415178,figment,Flashbots,flashbots,Lighthouse,2023-05-09 16:15:59,30
[6402079](https://beaconcha.in/slot/6402079),342499,wex exchange,builder0x69,ultrasound,Prysm,2023-05-09 16:16:11,31
[6402080](https://beaconcha.in/slot/6402080),753,binance,Blocknative,blocknative,Prysm,2023-05-09 16:16:23,0
[6402081](https://beaconcha.in/slot/6402081),114640,lido,builder0x69,ultrasound,Lodestar,2023-05-09 16:16:35,1
[6402082](https://beaconcha.in/slot/6402082),613053,lido,Blocknative,blocknative,Lighthouse,2023-05-09 16:16:47,2
[6402083](https://beaconcha.in/slot/6402083),306756,missed,,,Prysm,2023-05-09 16:16:59,3
[6402084](https://beaconcha.in/slot/6402084),75213,lido,beaverbuild.org,agnostic Gnosis,Lighthouse,2023-05-09 16:17:11,4
[6402084](https://beaconcha.in/slot/6402084),75213,lido,beaverbuild.org,ultrasound,Lighthouse,2023-05-09 16:17:11,4
[6402085](https://beaconcha.in/slot/6402085),203662,abyss finance,Titan Builder,ultrasound,Nimbus,2023-05-09 16:17:23,5
[6402086](https://beaconcha.in/slot/6402086),526537,coinbase,Flashbots,flashbots,Nimbus,2023-05-09 16:17:35,6
[6402087](https://beaconcha.in/slot/6402087),281159,lido,rsync-builder.xyz,flashbots,Lighthouse,2023-05-09 16:17:47,7
[6402088](https://beaconcha.in/slot/6402088),267123,0xb88e3c2e7234fdad427861d5da67dd7c606cfed5003db60dee56a5c642f0b0f9a3ff8138baf5772878b7a4f99c24ec05,beaverbuild.org,ultrasound,Lighthouse,2023-05-09 16:17:59,8
[6402088](https://beaconcha.in/slot/6402088),267123,0xb88e3c2e7234fdad427861d5da67dd7c606cfed5003db60dee56a5c642f0b0f9a3ff8138baf5772878b7a4f99c24ec05,beaverbuild.org,agnostic Gnosis,Lighthouse,2023-05-09 16:17:59,8
[6402089](https://beaconcha.in/slot/6402089),290398,lido,beaverbuild.org,ultrasound,Prysm,2023-05-09 16:18:11,9
[6402090](https://beaconcha.in/slot/6402090),345349,binance,rsync-builder.xyz,blocknative,Prysm,2023-05-09 16:18:23,10
[6402091](https://beaconcha.in/slot/6402091),113535,binance,Flashbots,flashbots,Prysm,2023-05-09 16:18:35,11
[6402092](https://beaconcha.in/slot/6402092),105841,lido,builder0x69,agnostic Gnosis,Prysm,2023-05-09 16:18:47,12
[6402093](https://beaconcha.in/slot/6402093),517805,missed,,,Lighthouse,2023-05-09 16:18:59,13
[6402094](https://beaconcha.in/slot/6402094),135819,lido,beaverbuild.org,ultrasound,Prysm,2023-05-09 16:19:11,14
[6402095](https://beaconcha.in/slot/6402095),377552,0xacedbb9a2407a88cd846ec1d4eabe22b9d699bb0ba9d91b100e2b068e5704c0b14100d620293dd7229cda64c02c510c9,rsync-builder.xyz,bloxroute (regulated),Prysm,2023-05-09 16:19:23,15
[6402096](https://beaconcha.in/slot/6402096),399906,missed,,,Prysm,2023-05-09 16:19:35,16
[6402097](https://beaconcha.in/slot/6402097),475327,lido,rsync-builder.xyz,ultrasound,Nimbus,2023-05-09 16:19:47,17
[6402098](https://beaconcha.in/slot/6402098),345976,binance,Flashbots,flashbots,Prysm,2023-05-09 16:19:59,18
[6402099](https://beaconcha.in/slot/6402099),58930,binance,rsync-builder.xyz,eden,Prysm,2023-05-09 16:20:11,19
[6402100](https://beaconcha.in/slot/6402100),102135,missed,,,Lighthouse,2023-05-09 16:20:23,20
[6402101](https://beaconcha.in/slot/6402101),13166,0x8fe50905747ea26612d5fce22838dc1715d4c5d598e064ad4fa50a576275b697a344a3c1f2cbc74c17649b4e10759628,builder0x69,flashbots,Teku,2023-05-09 16:20:35,21
[6402102](https://beaconcha.in/slot/6402102),483496,coinbase,builder0x69,agnostic Gnosis,Teku,2023-05-09 16:20:47,22
[6402103](https://beaconcha.in/slot/6402103),417823,lido,Titan Builder,ultrasound,Teku,2023-05-09 16:20:59,23
[6402104](https://beaconcha.in/slot/6402104),318112,binance,rsync-builder.xyz,flashbots,Prysm,2023-05-09 16:21:11,24
[6402155](https://beaconcha.in/slot/6402155),437890,binance,,,Lighthouse,2023-05-09 16:31:23,11
[6402271](https://beaconcha.in/slot/6402271),463152,stakewise,,,Lighthouse,2023-05-09 16:54:35,31
[6403490](https://beaconcha.in/slot/6403490),442989,0xacc4c7783234137cca634de7046f8636b54154514a779a9788b3c8dbd29920abc6d6b29fa7bf0d0d698a68b4706680b7,,,Lighthouse,2023-05-09 20:58:23,2
[6404001](https://beaconcha.in/slot/6404001),240636,figment,,,Lighthouse,2023-05-09 22:40:35,1
[6404872](https://beaconcha.in/slot/6404872),466225,lido,,,Prysm,2023-05-10 01:34:47,8
[6404990](https://beaconcha.in/slot/6404990),300868,okx,rsync-builder.xyz,blocknative,Prysm,2023-05-10 01:58:23,30
[6408353](https://beaconcha.in/slot/6408353),465132,coinbase,,,Lighthouse,2023-05-10 13:10:59,1
[6408951](https://beaconcha.in/slot/6408951),557233,0x813848f4eaaabdb8a0c4e5c85d3b70131bce5d7de3a74e948ed408b460ac11214ecfc8bf4603ef3159ad37121405aa55,,,Lighthouse,2023-05-10 15:10:35,23
[6409537](https://beaconcha.in/slot/6409537),121139,0xad48369eee2243bf125d7326d71a3c8a8cdfd2f594a0a03e3b7c9fb8be804fe5d299260f0fe4f28e8ce170709e553c8a,Blocknative,blocknative,Lighthouse,2023-05-10 17:07:47,1
[6409794](https://beaconcha.in/slot/6409794),445019,lido,,,Lighthouse,2023-05-10 17:59:11,2
[6410817](https://beaconcha.in/slot/6410817),190477,lido,,,Lighthouse,2023-05-10 21:23:47,1
