relay,slots
ultrasound,255543
bloxroute (max profit),198094
flashbots,194958
agnostic Gnosis,167221
bloxroute (regulated),112706
blocknative,83974
aestus,25929
eden,9473
manifold,1558
bloxroute (ethical),237
